Image ID,Reference,Adjudicator,Timestamp,Task,Label
1263,52E2E1456D6202BA44A4B37F9CADE37BFCE7E0CC655BB0E5DCC890361FFC4434,clint,2016-Mar-07 15:37:57,model,Glock
1265,CEB1C6B82EB7C206C93B5CE4DD18EDDE27F0C07DE09747ED3A1B41415D3DAA0E,clint,2016-Mar-07 15:38:08,quantity,0
1268,B4FAAF35FB7C7A8CD3329AAA8959550AA8F3EAE1C88A5DF3DF35AD679B101D2C,clint,2016-Mar-07 15:41:47,quantity,1
1270,58BB1DFEAD9FB6B5F59132EE3C98FC0D7F7B944C52567D8D204D790740A85B4D,clint,2016-Mar-07 15:42:06,quantity,1
1272,08501A2E498C52674ECDA15A644E2DD7B4164D9F93A7C92A7F29DA848A44208B, ,2016-Mar-07 07:00:05,quantity,0
1272,08501A2E498C52674ECDA15A644E2DD7B4164D9F93A7C92A7F29DA848A44208B, ,2016-Mar-08 10:51:50,model,other
1274,497250CC3DA8F0ED28BD6B16BD08DFE6752DEAA20E1B803D806CEEC993AF4969, ,2016-Mar-07 07:00:05,subject-type,ammunition
1276,C5299188F6D9DA11DE3CFCFDA3B2080E417B4C1FB74BD0A53BD58EF050CD2EEF,clint,2016-Mar-07 15:44:26,quantity,1
1277,D67D779C423F6E116215737ED60AE0D7E35E815052A61A93582DB8B3AD7934DA,clint,2016-Mar-07 15:44:39,model,Revolver
1279,3BE59791517F6650231215F62970774947F6991DE542520D6123CC6DAE41B38F, ,2016-Mar-07 07:00:05,subject-type,handgun
1281,C736441C9CAFB48E5BF734EA9DE02449890B0FD8C60D0E871D370C55EE9861DF, ,2016-Mar-07 07:00:05,quantity,0
1282,5991B2593CB9E84CC5E5B92C5AD75A14FD29A436792111692EA25CCB7BA269D3, ,2016-Mar-07 07:00:05,model,Glock
1284,C3E8211C76BC0260B690CE0515AA0A78082A993F01E7AEEC0FD84A7288E45481,clint,2016-Mar-07 16:09:21,subject-type,handgun
1286,39DE23865DC1D9693219CD8EFAED80BEED930BE6947419F5B4C341B6B4E76120, ,2016-Mar-07 07:00:05,quantity,0
1288,6FFC539A56405473F7B86267E954FCAA9DF85A0C7D6EBCC21FD9275F430C3FB9, ,2016-Mar-07 07:00:06,quantity,0
1290,2BF77F63F4A6FE7F01700BB0057BE9A2CFCD8D4C9D1805B8C6AC3689C01CF3FD,clint,2016-Mar-07 16:12:14,quantity,1
1292,7D359A3A2B13EF6A4CCFEAAE267D7784F3C1CDE089241191B7A4AC1B91E3D07B,clint,2016-Mar-07 16:12:30,quantity,1
1293,9CC0712ED6AD203FD52636B1A277AD59220DD2E85F06E5FD87425AB21C1F12E7,clint,2016-Mar-07 16:12:47,model,long gun
1294,C86947D58FF4829ECF8637A58EC77A54A15F7831324B69E65C04BEDE1C3810B4, ,2016-Mar-08 10:51:51,model,long gun
1296,1BFB5E8F7976B2E51930F83F6CD6C73179237D72FF70122D29D574E225457F30,clint,2016-Mar-07 16:13:52,quantity,1
1298,3A5A7B1319444F54277DB9B16ECA5B8CFD2874EA35BD6F229D8470D6AAD9940F,clint,2016-Mar-07 16:14:14,subject-type,other
1300,41449FF50FAB5EAEA26EC2D4694A8CCB54C5A874656B528CDFF85A1B69481840, ,2016-Mar-07 07:00:06,subject-type,rifle
1300,41449FF50FAB5EAEA26EC2D4694A8CCB54C5A874656B528CDFF85A1B69481840, ,2016-Mar-08 10:51:51,model,long gun 
1302,6C6BA23ECB15E480866CA8657728F5DBC7D610618842A57018DEB1E1B91EE89F, ,2016-Mar-07 07:00:07,subject-type,rifle
1304,7D78D67CC2157F8488B4C46F9181530EDAA250C0521338E831AABD267076804A,clint,2016-Mar-07 16:15:06,model,AR
1306,8BC00435C5870F3993BFE4612E8FC23228B3409B458B509785194E700A4FA18F,clint,2016-Mar-07 16:15:28,subject-type,other
1308,5D7FB4013569757EBA2E0A840262E05F8262B964B62664145F62CBB36A08E33C, ,2016-Mar-08 10:51:52,model,Glock
1309,1BBA8E0DBA0C72F8F50992DFDFD2A0F3CCFE14E7A048B841E74011981E902250,clint,2016-Mar-07 16:15:59,quantity,1
1311,151C1CBF3854B87DF83779C43FFDFA144C0976E5E2CACEAFA6883A14E016F716,clint,2016-Mar-08 09:38:24,subject-type,rifle
1313,86654788A4C562A9FAA18E215A6E0F08FD8C31B3FAC572D1C5C0D523ADAACE20,clint,2016-Mar-07 16:16:26,model,1911
1316,745E8FF3D0DCFAE3ADABF0C3F57CFE9525B3BCBDAE80ADD624647F5AD6813171, ,2016-Mar-07 07:00:07,quantity,1
1317,37A7F329BC0B18D32C96059F1B2A3B68206D5004C829DCCCE02BE70E1CD17005, ,2016-Mar-08 10:51:52,model,AR
